station_id,time,num_bikes_available,name,lat,lon,hour
418,2022-05-14T04:18:25Z,16,14th & Irving St NW,38.928552,-77.032224,4
484,2022-05-14T04:18:25Z,17,11th & Girard St NW,38.925636,-77.027112,4
485,2022-05-14T04:18:25Z,10,Connecticut Ave & R St NW,38.912644,-77.04564,4
15,2022-05-14T05:00:10Z,14,14th & V St NW,38.917931,-77.032112,5
21,2022-05-14T05:00:10Z,14,Lamont & Mt Pleasant NW,38.9319,-77.0388,5
22,2022-05-14T05:00:10Z,9,4th & M St SW,38.8767,-77.0178,5
51,2022-05-14T05:00:10Z,22,Massachusetts Ave & Dupont Circle NW,38.9101,-77.0444,5
92,2022-05-14T05:00:10Z,11,8th & H St NW,38.8997,-77.023086,5
99,2022-05-14T05:00:10Z,9,Lincoln Park / 13th & East Capitol St NE ,38.890461,-76.988355,5
103,2022-05-14T05:00:10Z,32,Metro Center / 12th & G St NW,38.898364,-77.027869,5
105,2022-05-14T05:00:10Z,13,7th & F St NW / National Portrait Gallery,38.8972830485385,-77.0221906900406,5
106,2022-05-14T05:00:10Z,14,17th & K St NW / Farragut Square,38.902061,-77.038322,5
113,2022-05-14T05:00:10Z,14,Columbus Circle / Union Station,38.89696,-77.00493,5
124,2022-05-14T05:00:10Z,11,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,38.88412,-77.04657,5
144,2022-05-14T05:00:10Z,11,3rd & G St SE,38.881185,-77.001828,5
148,2022-05-14T05:00:10Z,13,Columbia Rd & Georgia Ave NW,38.928121111321,-77.0237946510315,5
159,2022-05-14T05:00:10Z,13,10th & K St NW,38.9024,-77.02622,5
169,2022-05-14T05:00:10Z,6,Smithsonian-National Mall / Jefferson Dr & 12th St SW,38.888767,-77.02858,5
207,2022-05-14T05:00:10Z,11,5th St & Massachusetts Ave NW,38.90093,-77.018677,5
210,2022-05-14T05:00:10Z,14,3rd & M St NE,38.9054697149433,-77.0021304488182,5
242,2022-05-14T05:00:10Z,12,12th & U St NW,38.916787,-77.028139,5
369,2022-05-14T05:00:10Z,13,2nd & G St NE,38.89967,-77.003666,5
370,2022-05-14T05:00:10Z,10,8th & O St NW,38.90864,-77.02277,5
391,2022-05-14T05:00:10Z,14,1st & O St NW,38.908643,-77.012365,5
408,2022-05-14T05:00:10Z,11,4th St & Madison Dr NW,38.890493,-77.017253,5
418,2022-05-14T05:00:10Z,11,14th & Irving St NW,38.928552,-77.032224,5
484,2022-05-14T05:00:10Z,18,11th & Girard St NW,38.925636,-77.027112,5
485,2022-05-14T05:00:10Z,10,Connecticut Ave & R St NW,38.912644,-77.04564,5
15,2022-05-14T06:18:40Z,7,14th & V St NW,38.917931,-77.032112,6
21,2022-05-14T06:18:40Z,16,Lamont & Mt Pleasant NW,38.9319,-77.0388,6
22,2022-05-14T06:18:40Z,12,4th & M St SW,38.8767,-77.0178,6
51,2022-05-14T06:18:40Z,20,Massachusetts Ave & Dupont Circle NW,38.9101,-77.0444,6
92,2022-05-14T06:18:40Z,10,8th & H St NW,38.8997,-77.023086,6
99,2022-05-14T06:18:40Z,11,Lincoln Park / 13th & East Capitol St NE ,38.890461,-76.988355,6
